userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess
mthain,Average,0,eval_input,2020-02-21 08:34:20,1,1,,,,
mthain,Average,1,eval_input,2020-02-21 08:34:26,0,0,,,,
mthain,Average,2,eval_input,2020-02-21 08:34:34,-1,-1,,,,
mthain,Average,3,eval_input,2020-02-21 08:34:41,10,10,,,,
mthain,Average,4,eval_input,2020-02-21 08:34:45,69,69,,,,
mthain,Average,5,eval_input,2020-02-21 08:34:47,-2340,-2340,,,,
mthain,Average,6,eval_input,2020-02-21 08:34:57,1 1,1,,,,
mthain,Average,7,eval_input,2020-02-21 08:35:00,1 2,1.5,,,,
mthain,Average,8,eval_input,2020-02-21 08:35:02,1 3,2,,,,
mthain,Average,9,eval_input,2020-02-21 08:35:05,2 2,2,,,,
mthain,Average,10,eval_input,2020-02-21 08:35:06,2 3,2.5,,,,
mthain,Average,11,eval_input,2020-02-21 08:35:10,2 4,3,,,,
mthain,Average,12,eval_input,2020-02-21 08:35:11,2 5,3.5,,,,
mthain,Average,13,eval_input,2020-02-21 08:35:15,2 2 2,2,,,,
mthain,Average,14,eval_input,2020-02-21 08:35:17,2 2 3,2.3333333333333335,,,,
mthain,Average,15,eval_input,2020-02-21 08:35:20,2 2 4,2.6666666666666665,,,,
mthain,Average,16,eval_input,2020-02-21 08:35:27,2 0 2,1.3333333333333333,,,,
mthain,Average,17,eval_input,2020-02-21 08:35:46,0 0 0 4,1,,,,
mthain,Average,18,eval_input,2020-02-21 08:35:48,0 0 0 8,2,,,,
mthain,Average,19,eval_input,2020-02-21 08:35:54,0 0 0 69,17.25,,,,
mthain,Average,20,eval_input,2020-02-21 08:35:57,0 0 0 80,20,,,,
mthain,Average,21,eval_input,2020-02-21 08:36:02,3 3 3 3,3,,,,
mthain,Average,22,eval_input,2020-02-21 08:36:06,3 4 2 3,3,,,,
mthain,Average,23,eval_input,2020-02-21 08:37:28,3 -1 2 3,1.75,,,,
mthain,Average,24,eval_input,2020-02-21 08:37:35,-1 -1 -1 -1,-1,,,,
mthain,Average,25,eval_input,2020-02-21 08:37:43,0 4 0 0,1,,,,
mthain,Average,26,eval_input,2020-02-21 08:37:46,0 -4 0 0,-1,,,,
mthain,Average,27,quiz_answer,2020-02-21 08:38:05,1 8 24,11,0,11,true,
mthain,Average,28,quiz_answer,2020-02-21 08:38:12,8 1 24,11,1,11,true,
mthain,Average,29,quiz_answer,2020-02-21 08:38:17,1 2 3 14,5,2,5,true,
mthain,Average,30,final_answer,2020-02-21 08:38:19,,,,,,"Calculates the mean of the integers (sum the integers, divide by list size; not defined for empty list)"
mthain,FirstIntoSecondDivisible,31,eval_input,2020-02-21 08:57:20,1 1,true,,,,
mthain,FirstIntoSecondDivisible,32,eval_input,2020-02-21 08:57:23,0 1,false,,,,
mthain,FirstIntoSecondDivisible,33,eval_input,2020-02-21 08:57:26,-1 1,true,,,,
mthain,FirstIntoSecondDivisible,34,eval_input,2020-02-21 08:57:29,-2 1,false,,,,
mthain,FirstIntoSecondDivisible,35,eval_input,2020-02-21 08:57:34,-69 1,false,,,,
mthain,FirstIntoSecondDivisible,36,eval_input,2020-02-21 08:57:36,2000 1,false,,,,
mthain,FirstIntoSecondDivisible,37,eval_input,2020-02-21 08:57:38,0 1,false,,,,
mthain,FirstIntoSecondDivisible,38,eval_input,2020-02-21 08:57:49,4 -123,false,,,,
mthain,FirstIntoSecondDivisible,39,eval_input,2020-02-21 08:57:51,4 -4,true,,,,
mthain,FirstIntoSecondDivisible,40,eval_input,2020-02-21 08:57:53,4 0,true,,,,
mthain,FirstIntoSecondDivisible,41,eval_input,2020-02-21 08:57:55,4 4,true,,,,
mthain,FirstIntoSecondDivisible,42,eval_input,2020-02-21 08:57:57,4 1234,false,,,,
mthain,FirstIntoSecondDivisible,43,quiz_answer,2020-02-21 08:59:34,"2,8",false,0,true,false,
mthain,FirstIntoSecondDivisible,44,quiz_answer,2020-02-21 09:00:01,"2,8",false,0,true,false,
mthain,FirstIntoSecondDivisible,45,cheat_attempt,2020-02-21 09:00:08,2 8,true,,,,
mthain,FirstIntoSecondDivisible,46,cheat_attempt,2020-02-21 09:00:13,2 8,true,,,,
mthain,FirstIntoSecondDivisible,47,cheat_attempt,2020-02-21 09:00:42,2 8,true,,,,
mthain,FirstIntoSecondDivisible,48,cheat_attempt,2020-02-21 09:00:44,2 8,true,,,,
mthain,FirstIntoSecondDivisible,49,quiz_answer,2020-02-21 09:01:08,"2,8",true,0,true,true,
mthain,FirstIntoSecondDivisible,50,quiz_answer,2020-02-21 09:01:11,"8,2",false,1,false,true,
mthain,FirstIntoSecondDivisible,51,quiz_answer,2020-02-21 09:01:17,"2,0",false,2,true,false,
mthain,FirstIntoSecondDivisible,52,quiz_answer,2020-02-21 09:03:32,"2,8",true,0,true,true,
mthain,FirstIntoSecondDivisible,53,quiz_answer,2020-02-21 09:03:35,"8,2",false,1,false,true,
mthain,FirstIntoSecondDivisible,54,quiz_answer,2020-02-21 09:03:40,"2,0",true,2,true,true,
mthain,FirstIntoSecondDivisible,55,final_answer,2020-02-21 09:03:41,,,,,,"?? 2nd is a multiple of the first ?? omg i literally ignored the f(4,0)=true kms"
mthain,SumBetween,56,eval_input,2020-02-21 09:04:26,2 8,35,,,,
mthain,SumBetween,57,eval_input,2020-02-21 09:04:30,2 8,35,,,,
mthain,SumBetween,58,eval_input,2020-02-21 09:04:32,2 8,35,,,,
mthain,SumBetween,59,eval_input,2020-02-21 09:04:33,0 8,36,,,,
mthain,SumBetween,60,eval_input,2020-02-21 09:04:35,0 0,0,,,,
mthain,SumBetween,61,eval_input,2020-02-21 09:04:42,0 1,1,,,,
mthain,SumBetween,62,eval_input,2020-02-21 09:04:44,0 2,3,,,,
mthain,SumBetween,63,eval_input,2020-02-21 09:04:46,0 3,6,,,,
mthain,SumBetween,64,eval_input,2020-02-21 09:04:47,0 4,10,,,,
mthain,SumBetween,65,eval_input,2020-02-21 09:04:48,0 5,15,,,,
mthain,SumBetween,66,eval_input,2020-02-21 09:05:13,0 6,21,,,,
mthain,SumBetween,67,eval_input,2020-02-21 09:05:20,0 7,28,,,,
mthain,SumBetween,68,eval_input,2020-02-21 09:05:26,0 8,36,,,,
mthain,SumBetween,69,eval_input,2020-02-21 09:05:28,0 9,45,,,,
mthain,SumBetween,70,eval_input,2020-02-21 09:05:30,0 0,0,,,,
mthain,SumBetween,71,eval_input,2020-02-21 09:05:34,0 -1,0,,,,
mthain,SumBetween,72,eval_input,2020-02-21 09:05:35,0 -2,0,,,,
mthain,SumBetween,73,eval_input,2020-02-21 09:05:37,0 -69,0,,,,
mthain,SumBetween,74,eval_input,2020-02-21 09:05:54,-1 -999,0,,,,
mthain,SumBetween,75,eval_input,2020-02-21 09:05:56,-234 -999,0,,,,
mthain,SumBetween,76,eval_input,2020-02-21 09:06:01,-2345245245 -999,-2750087631940370400,,,,
mthain,SumBetween,77,eval_input,2020-02-21 09:06:18,-234523423 0,-27500618181239984,,,,
mthain,SumBetween,78,eval_input,2020-02-21 09:06:28,-999 0,-499500,,,,
mthain,SumBetween,79,eval_input,2020-02-21 09:06:31,-998 0,-498501,,,,
mthain,SumBetween,80,eval_input,2020-02-21 09:06:32,-997 0,-497503,,,,
mthain,SumBetween,81,eval_input,2020-02-21 09:06:33,-95 0,-4560,,,,
mthain,SumBetween,82,eval_input,2020-02-21 09:06:35,-93 0,-4371,,,,
mthain,SumBetween,83,eval_input,2020-02-21 09:06:37,-9 0,-45,,,,
mthain,SumBetween,84,eval_input,2020-02-21 09:06:38,-3 0,-6,,,,
mthain,SumBetween,85,eval_input,2020-02-21 09:06:39,-2 0,-3,,,,
mthain,SumBetween,86,eval_input,2020-02-21 09:06:41,-1 0,-1,,,,
mthain,SumBetween,87,eval_input,2020-02-21 09:06:50,-2 0,-3,,,,
mthain,SumBetween,88,eval_input,2020-02-21 09:06:53,-3 0,-6,,,,
mthain,SumBetween,89,eval_input,2020-02-21 09:06:55,-4 0,-10,,,,
mthain,SumBetween,90,eval_input,2020-02-21 09:06:57,-5 0,-15,,,,
mthain,SumBetween,91,eval_input,2020-02-21 09:06:59,-6 0,-21,,,,
mthain,SumBetween,92,eval_input,2020-02-21 09:07:08,1 0,0,,,,
