SumParityInt,
15,0.933333333333333
15,0.933333333333333
15,0.933333333333333
15,0.933333333333333
15,0.933333333333333
16,0.875
16,0.9375
16,0.9375
16,0.9375
16,0.9375
16,0.9375
17,0.941176470588235
17,0.941176470588235
17,0.941176470588235
17,0.941176470588235
17,0.941176470588235
18,0.944444444444444
18,0.944444444444444
18,0.944444444444444
19,0.947368421052632
19,0.947368421052632
19,0.947368421052632
20,0.95
20,0.95
20,0.9
20,0.95
20,0.95
20,0.95
21,0.952380952380952
21,0.952380952380952
22,0.954545454545455
22,0.909090909090909
24,0.916666666666667
24,0.916666666666667
26,0.961538461538462
26,0.961538461538462
26,0.961538461538462
26,0.961538461538462
27,0.962962962962963
28,0.964285714285714
29,0.96551724137931
31,0.967741935483871
34,0.941176470588235
34,0.970588235294117
35,0.971428571428571
35,0.971428571428571
37,0.972972972972973
38,0.921052631578947
39,0.974358974358974
43,0.953488372093023
44,0.909090909090909
44,0.954545454545455
53,0.981132075471698
