SumParityInt,
158,0.484493670886076
SumBetween,
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
3,0.166666666666667
3,0.166666666666667
4,0.375
4,0.375
5,0.536666666666667
5,0.366666666666667
5,0.26
6,0
